DATE,RF
2000-01-31,0.004608
2000-02-29,0.004683
2000-03-31,0.004767
2000-04-30,0.004717
2000-05-31,0.004567
2000-06-30,0.004758
2000-07-31,0.005025
2000-08-31,0.005108
2000-09-30,0.005042
2000-10-31,0.005158
2000-11-30,0.005025
2000-12-31,0.004775
2001-01-31,0.004050
2001-02-28,0.003942
2001-03-31,0.003500
2001-04-30,0.003217
2001-05-31,0.002958
2001-06-30,0.002975
2001-07-31,0.002883
2001-08-31,0.002750
2001-09-30,0.001958
2001-10-31,0.001675
2001-11-30,0.001458
2001-12-31,0.001425
2002-01-31,0.001442
2002-02-28,0.001467
2002-03-31,0.001467
2002-04-30,0.001450
2002-05-31,0.001425
2002-06-30,0.001392
2002-07-31,0.001400
2002-08-31,0.001383
2002-09-30,0.001283
2002-10-31,0.001183
2002-11-30,0.001000
2002-12-31,0.001000
2003-01-31,0.000967
2003-02-28,0.000983
2003-03-31,0.000933
2003-04-30,0.000925
2003-05-31,0.000908
2003-06-30,0.000742
2003-07-31,0.000783
2003-08-31,0.000800
2003-09-30,0.000775
2003-10-31,0.000783
2003-11-30,0.000758
2003-12-31,0.000775
2004-01-31,0.000750
2004-02-29,0.000783
2004-03-31,0.000775
2004-04-30,0.000800
2004-05-31,0.000883
2004-06-30,0.001092
2004-07-31,0.001183
2004-08-31,0.001308
2004-09-30,0.001400
2004-10-31,0.001558
2004-11-30,0.001825
2004-12-31,0.001817
2005-01-31,0.002067
2005-02-28,0.002267
2005-03-31,0.002275
2005-04-30,0.002367
2005-05-31,0.002442
2005-06-30,0.002550
2005-07-31,0.002783
2005-08-31,0.002867
2005-09-30,0.002892
2005-10-31,0.003242
2005-11-30,0.003217
2005-12-31,0.003325
2006-01-31,0.003642
2006-02-28,0.003758
2006-03-31,0.003767
2006-04-30,0.003875
2006-05-31,0.003950
2006-06-30,0.004058
2006-07-31,0.004142
2006-08-31,0.004100
2006-09-30,0.003975
2006-10-31,0.004125
2006-11-30,0.004083
2006-12-31,0.004075
2007-01-31,0.004158
2007-02-28,0.004175
2007-03-31,0.004083
2007-04-30,0.003992
2007-05-31,0.003833
2007-06-30,0.003900
2007-07-31,0.004017
2007-08-31,0.003258
2007-09-30,0.003100
2007-10-31,0.003200
2007-11-30,0.002567
2007-12-31,0.002742
2008-01-31,0.001600
2008-02-29,0.001508
2008-03-31,0.001133
2008-04-30,0.001175
2008-05-31,0.001542
2008-06-30,0.001558
2008-07-31,0.001375
2008-08-31,0.001408
2008-09-30,0.000750
2008-10-31,0.000367
2008-11-30,0.000008
2008-12-31,0.000092
2009-01-31,0.000200
2009-02-28,0.000217
2009-03-31,0.000175
2009-04-30,0.000117
2009-05-31,0.000117
2009-06-30,0.000158
2009-07-31,0.000150
2009-08-31,0.000125
2009-09-30,0.000117
2009-10-31,0.000042
2009-11-30,0.000050
2009-12-31,0.000050
2010-01-31,0.000067
2010-02-28,0.000108
2010-03-31,0.000133
2010-04-30,0.000133
2010-05-31,0.000133
2010-06-30,0.000150
2010-07-31,0.000125
2010-08-31,0.000117
2010-09-30,0.000133
2010-10-31,0.000100
2010-11-30,0.000142
2010-12-31,0.000100
2011-01-31,0.000125
2011-02-28,0.000125
2011-03-31,0.000075
2011-04-30,0.000033
2011-05-31,0.000050
2011-06-30,0.000025
2011-07-31,0.000083
2011-08-31,0.000017
2011-09-30,0.000017
2011-10-31,0.000008
2011-11-30,0.000008
2011-12-31,0.000017
2012-01-31,0.000050
2012-02-29,0.000067
2012-03-31,0.000058
2012-04-30,0.000083
2012-05-31,0.000058
2012-06-30,0.000075
2012-07-31,0.000092
2012-08-31,0.000075
2012-09-30,0.000083
2012-10-31,0.000092
2012-11-30,0.000067
2012-12-31,0.000042
2013-01-31,0.000058
2013-02-28,0.000092
2013-03-31,0.000058
2013-04-30,0.000042
2013-05-31,0.000033
2013-06-30,0.000033
2013-07-31,0.000033
2013-08-31,0.000025
2013-09-30,0.000017
2013-10-31,0.000033
2013-11-30,0.000050
2013-12-31,0.000058
2014-01-31,0.000017
2014-02-28,0.000042
2014-03-31,0.000042
2014-04-30,0.000025
2014-05-31,0.000033
2014-06-30,0.000033
2014-07-31,0.000025
2014-08-31,0.000025
2014-09-30,0.000017
2014-10-31,0.000008
2014-11-30,0.000017
2014-12-31,0.000033
2015-01-31,0.000017
2015-02-28,0.000017
2015-03-31,0.000025
2015-04-30,0.000008
2015-05-31,0.000008
2015-06-30,0.000008
2015-07-31,0.000067
2015-08-31,0.000067
2015-09-30,-0.000008
2015-10-31,0.000067
2015-11-30,0.000183
2015-12-31,0.000133
2016-01-31,0.000267
2016-02-29,0.000275
2016-03-31,0.000175
2016-04-30,0.000183
2016-05-31,0.000283
2016-06-30,0.000217
2016-07-31,0.000225
2016-08-31,0.000275
2016-09-30,0.000233
2016-10-31,0.000283
2016-11-30,0.000400
2016-12-31,0.000417
2017-01-31,0.000433
2017-02-28,0.000442
2017-03-31,0.000625
2017-04-30,0.000658
2017-05-31,0.000800
2017-06-30,0.000842
2017-07-31,0.000875
2017-08-31,0.000825
2017-09-30,0.000867
2017-10-31,0.000942
2017-11-30,0.001042
2017-12-31,0.001142
2018-01-31,0.001200
2018-02-28,0.001358
2018-03-31,0.001417
2018-04-30,0.001533
2018-05-31,0.001575
2018-06-30,0.001575
2018-07-31,0.001658
2018-08-31,0.001725
2018-09-30,0.001792
2018-10-31,0.001908
2018-11-30,0.001933
2018-12-31,0.002000
2019-01-31,0.001967
2019-02-28,0.002000
2019-03-31,0.001958
2019-04-30,0.001983
2019-05-31,0.001917
2019-06-30,0.001733
2019-07-31,0.001700
2019-08-31,0.001625
2019-09-30,0.001533
2019-10-31,0.001258
2019-11-30,0.001300
2019-12-31,0.001267
2020-01-31,0.001267
2020-02-29,0.001042
2020-03-31,0.000092
2020-04-30,0.000075
2020-05-31,0.000117
2020-06-30,0.000133
2020-07-31,0.000075
2020-08-31,0.000092
2020-09-30,0.000083
2020-10-31,0.000075
2020-11-30,0.000067
2020-12-31,0.000075
2021-01-31,0.000050
2021-02-28,0.000033
2021-03-31,0.000025
2021-04-30,0.000008
2021-05-31,0.000008
2021-06-30,0.000042
2021-07-31,0.000050
2021-08-31,0.000033
2021-09-30,0.000033
2021-10-31,0.000042
2021-11-30,0.000042
2021-12-31,0.000050
2022-01-31,0.000200
2022-02-28,0.000308
2022-03-31,0.000425
2022-04-30,0.000692
2022-05-31,0.000942
2022-06-30,0.001383
2022-07-31,0.001950
2022-08-31,0.002392
2022-09-30,0.002683
2022-10-31,0.003383
2022-11-30,0.003558
2022-12-31,0.003583
2023-01-31,0.003817
2023-02-28,0.003933
2023-03-31,0.003900
2023-04-30,0.004125
2023-05-31,0.004383
2023-06-30,0.004308
2023-07-31,0.004400
2023-08-31,0.004433
2023-09-30,0.004433
2023-10-31,0.004442
2023-11-30,0.004375
2023-12-31,0.004333
2024-01-31,0.004350
2024-02-29,0.004375
2024-03-31,0.004358
2024-04-30,0.004375
2024-05-31,0.004375
2024-06-30,0.004350
2024-07-31,0.004292
2024-08-31,0.004150
2024-09-30,0.003767
2024-10-31,0.003700
2024-11-30,0.003658
2024-12-31,0.003525
2025-01-31,0.003500
2025-02-28,0.003500
2025-03-31,0.003508
2025-04-30,0.003500
2025-05-31,0.003542
2025-06-30,0.003533
2025-07-31,0.003533
2025-08-31,0.003375
2025-09-30,0.003217
2025-10-31,0.003108
